Job,Routing_ID,Operation,Machine,Start,Processing Time,End,Arrival,Ready Time,Due Date
01-09500-0000,01-07,9,M03,3247,79,3326,0,1440,3326
01-09500-0001,01-06,9,M04,3594,55,3649,47,1440,3649
01-09500-0002,01-01,9,M08,3105,30,3135,112,1440,3135
01-09500-0003,01-05,0,M02,3180,84,3264,155,1440,5310
01-09500-0003,01-05,1,M01,3661,2,3663,155,1440,5310
01-09500-0003,01-05,2,M05,3735,52,3787,155,1440,5310
01-09500-0003,01-05,3,M03,3820,95,3915,155,1440,5310
01-09500-0003,01-05,4,M08,4021,48,4069,155,1440,5310
01-09500-0003,01-05,5,M09,4069,72,4141,155,1440,5310
01-09500-0003,01-05,6,M00,4163,47,4210,155,1440,5310
01-09500-0003,01-05,7,M06,4325,65,4390,155,1440,5310
01-09500-0003,01-05,8,M04,4390,6,4396,155,1440,5310
01-09500-0003,01-05,9,M07,5285,25,5310,155,1440,5310
01-09500-0004,01-04,9,M06,2962,53,3015,196,1440,3015
01-09500-0006,01-00,9,M09,3989,21,4010,673,1440,4010
01-09500-0007,01-03,8,M09,3011,22,3033,801,1440,4088
01-09500-0007,01-03,9,M05,4045,43,4088,801,1440,4088
01-09500-0008,01-09,9,M07,3243,45,3288,861,1440,3288
01-09500-0009,01-08,0,M00,3701,76,3777,876,1440,5913
01-09500-0009,01-08,1,M01,3797,69,3866,876,1440,5913
01-09500-0009,01-08,2,M03,3915,76,3991,876,1440,5913
01-09500-0009,01-08,3,M05,3991,51,4042,876,1440,5913
01-09500-0009,01-08,4,M02,4241,85,4326,876,1440,5913
01-09500-0009,01-08,5,M09,4326,11,4337,876,1440,5913
01-09500-0009,01-08,6,M06,4643,40,4683,876,1440,5913
01-09500-0009,01-08,7,M07,4683,89,4772,876,1440,5913
01-09500-0009,01-08,8,M04,4806,26,4832,876,1440,5913
01-09500-0009,01-08,9,M08,5839,74,5913,876,1440,5913
01-09500-0010,01-06,9,M04,3736,55,3791,896,1440,3791
01-09500-0011,01-02,9,M04,3958,33,3991,901,1440,3991
01-09500-0012,01-08,9,M08,3220,74,3294,970,1440,3294
01-09500-0013,01-04,7,M07,2890,49,2939,1054,1440,4643
01-09500-0013,01-04,8,M09,2939,72,3011,1054,1440,4643
01-09500-0013,01-04,9,M06,4590,53,4643,1054,1440,4643
01-09500-0014,01-09,9,M07,3469,45,3514,1083,1440,3514
01-09500-0015,01-01,9,M08,3759,30,3789,1285,1440,3789
01-09500-0016,01-07,9,M03,4118,79,4197,1345,1440,4197
01-09500-0017,01-05,0,M02,2880,84,2964,1691,2880,4451
01-09500-0017,01-05,1,M01,3007,2,3009,1691,2880,4451
01-09500-0017,01-05,2,M05,3009,52,3061,1691,2880,4451
01-09500-0017,01-05,3,M03,3061,95,3156,1691,2880,4451
01-09500-0017,01-05,4,M08,3156,48,3204,1691,2880,4451
01-09500-0017,01-05,5,M09,3204,72,3276,1691,2880,4451
01-09500-0017,01-05,6,M00,3305,47,3352,1691,2880,4451
01-09500-0017,01-05,7,M06,3352,65,3417,1691,2880,4451
01-09500-0017,01-05,8,M04,3417,6,3423,1691,2880,4451
01-09500-0017,01-05,9,M07,4426,25,4451,1691,2880,4451
01-09500-0018,01-03,0,M01,3215,81,3296,1743,2880,4895
01-09500-0018,01-03,1,M02,3296,95,3391,1743,2880,4895
01-09500-0018,01-03,2,M00,3552,71,3623,1743,2880,4895
01-09500-0018,01-03,3,M04,3791,99,3890,1743,2880,4895
01-09500-0018,01-03,4,M06,3890,9,3899,1743,2880,4895
01-09500-0018,01-03,5,M08,3969,52,4021,1743,2880,4895
01-09500-0018,01-03,6,M07,4021,85,4106,1743,2880,4895
01-09500-0018,01-03,7,M03,4197,98,4295,1743,2880,4895
01-09500-0018,01-03,8,M09,4295,22,4317,1743,2880,4895
01-09500-0018,01-03,9,M05,4852,43,4895,1743,2880,4895
01-09500-0019,01-00,0,M00,3352,29,3381,1748,2880,5073
01-09500-0019,01-00,1,M01,3537,78,3615,1748,2880,5073
01-09500-0019,01-00,2,M02,3775,9,3784,1748,2880,5073
01-09500-0019,01-00,3,M03,3784,36,3820,1748,2880,5073
01-09500-0019,01-00,4,M04,4090,49,4139,1748,2880,5073
01-09500-0019,01-00,5,M05,4139,11,4150,1748,2880,5073
01-09500-0019,01-00,6,M06,4174,62,4236,1748,2880,5073
01-09500-0019,01-00,7,M07,4316,56,4372,1748,2880,5073
01-09500-0019,01-00,8,M08,4372,44,4416,1748,2880,5073
01-09500-0019,01-00,9,M09,5052,21,5073,1748,2880,5073
01-09500-0020,01-05,0,M02,4157,84,4241,1758,2880,5944
01-09500-0020,01-05,1,M01,4241,2,4243,1758,2880,5944
01-09500-0020,01-05,2,M05,4243,52,4295,1758,2880,5944
01-09500-0020,01-05,3,M03,4557,95,4652,1758,2880,5944
01-09500-0020,01-05,4,M08,4848,48,4896,1758,2880,5944
01-09500-0020,01-05,5,M09,4896,72,4968,1758,2880,5944
01-09500-0020,01-05,6,M00,4968,47,5015,1758,2880,5944
01-09500-0020,01-05,7,M06,5015,65,5080,1758,2880,5944
01-09500-0020,01-05,8,M04,5080,6,5086,1758,2880,5944
01-09500-0020,01-05,9,M07,5919,25,5944,1758,2880,5944
01-09500-0021,01-03,0,M01,3456,81,3537,1774,2880,5037
01-09500-0021,01-03,1,M02,3680,95,3775,1774,2880,5037
01-09500-0021,01-03,2,M00,3777,71,3848,1774,2880,5037
01-09500-0021,01-03,3,M04,3991,99,4090,1774,2880,5037
01-09500-0021,01-03,4,M06,4165,9,4174,1774,2880,5037
01-09500-0021,01-03,5,M08,4174,52,4226,1774,2880,5037
01-09500-0021,01-03,6,M07,4231,85,4316,1774,2880,5037
01-09500-0021,01-03,7,M03,4364,98,4462,1774,2880,5037
01-09500-0021,01-03,8,M09,4462,22,4484,1774,2880,5037
01-09500-0021,01-03,9,M05,4994,43,5037,1774,2880,5037
01-09500-0022,01-01,0,M00,2956,43,2999,1820,2880,4698
01-09500-0022,01-01,1,M02,3059,90,3149,1820,2880,4698
01-09500-0022,01-01,2,M04,3245,75,3320,1820,2880,4698
01-09500-0022,01-01,3,M09,3320,11,3331,1820,2880,4698
01-09500-0022,01-01,4,M03,3600,69,3669,1820,2880,4698
01-09500-0022,01-01,5,M01,3669,28,3697,1820,2880,4698
01-09500-0022,01-01,6,M06,3697,46,3743,1820,2880,4698
01-09500-0022,01-01,7,M05,3838,46,3884,1820,2880,4698
01-09500-0022,01-01,8,M07,3884,72,3956,1820,2880,4698
01-09500-0022,01-01,9,M08,4668,30,4698,1820,2880,4698
01-09500-0023,01-04,0,M02,3404,14,3418,1871,2880,5495
01-09500-0023,01-04,1,M00,3666,6,3672,1871,2880,5495
01-09500-0023,01-04,2,M01,3697,22,3719,1871,2880,5495
01-09500-0023,01-04,3,M05,3894,61,3955,1871,2880,5495
01-09500-0023,01-04,4,M03,3991,26,4017,1871,2880,5495
01-09500-0023,01-04,5,M04,4214,69,4283,1871,2880,5495
01-09500-0023,01-04,6,M08,4283,21,4304,1871,2880,5495
01-09500-0023,01-04,7,M07,4372,49,4421,1871,2880,5495
01-09500-0023,01-04,8,M09,4484,72,4556,1871,2880,5495
01-09500-0023,01-04,9,M06,5442,53,5495,1871,2880,5495
01-09500-0024,01-08,0,M00,2880,76,2956,1922,2880,4676
01-09500-0024,01-08,1,M01,3146,69,3215,1922,2880,4676
01-09500-0024,01-08,2,M03,3387,76,3463,1922,2880,4676
01-09500-0024,01-08,3,M05,3470,51,3521,1922,2880,4676
01-09500-0024,01-08,4,M02,3521,85,3606,1922,2880,4676
01-09500-0024,01-08,5,M09,3606,11,3617,1922,2880,4676
01-09500-0024,01-08,6,M06,3617,40,3657,1922,2880,4676
01-09500-0024,01-08,7,M07,3657,89,3746,1922,2880,4676
01-09500-0024,01-08,8,M04,3890,26,3916,1922,2880,4676
01-09500-0024,01-08,9,M08,4594,74,4668,1922,2880,4676
01-09500-0025,01-02,0,M01,3009,91,3100,1939,2880,4686
01-09500-0025,01-02,1,M00,3220,85,3305,1939,2880,4686
01-09500-0025,01-02,2,M03,3561,39,3600,1939,2880,4686
01-09500-0025,01-02,3,M02,3606,74,3680,1939,2880,4686
01-09500-0025,01-02,4,M08,3789,90,3879,1939,2880,4686
01-09500-0025,01-02,5,M05,3884,10,3894,1939,2880,4686
01-09500-0025,01-02,6,M07,3956,12,3968,1939,2880,4686
01-09500-0025,01-02,7,M06,4236,89,4325,1939,2880,4686
01-09500-0025,01-02,8,M09,4337,45,4382,1939,2880,4686
01-09500-0025,01-02,9,M04,4653,33,4686,1939,2880,4686
01-09500-0026,01-09,0,M01,4303,85,4388,2001,2880,6195
01-09500-0026,01-09,1,M00,4388,13,4401,2001,2880,6195
01-09500-0026,01-09,2,M02,4401,61,4462,2001,2880,6195
01-09500-0026,01-09,3,M06,4683,7,4690,2001,2880,6195
01-09500-0026,01-09,4,M08,4896,64,4960,2001,2880,6195
01-09500-0026,01-09,5,M09,4968,76,5044,2001,2880,6195
01-09500-0026,01-09,6,M05,5044,47,5091,2001,2880,6195
01-09500-0026,01-09,7,M03,5091,52,5143,2001,2880,6195
01-09500-0026,01-09,8,M04,5143,90,5233,2001,2880,6195
01-09500-0026,01-09,9,M07,6150,45,6195,2001,2880,6195
01-09500-0027,01-06,0,M01,2961,46,3007,2082,2880,4528
01-09500-0027,01-06,1,M00,3146,37,3183,2082,2880,4528
01-09500-0027,01-06,2,M03,3183,61,3244,2082,2880,4528
