Job,Production_Plan_ID,Arrival,Ready Time,End,Processing Time,Deadline
0,0,51,1440,3050.0,395,3302
1,1,136,1440,2736.0,510,2401
2,2,158,1440,2258.0,568,2557
3,3,236,1440,2926.0,655,1873
4,4,404,1440,3007.0,393,3093
5,5,485,1440,2731.0,496,2665
6,6,501,1440,2646.0,416,2430
7,7,528,1440,3085.0,539,4218
8,8,550,1440,2985.0,597,3151
9,9,559,1440,2970.0,540,2615
10,0,963,1440,3294.0,395,3141
11,9,969,1440,3240.0,540,3062
12,8,992,1440,3465.0,597,2717
13,2,1046,1440,3306.0,568,3095
14,4,1177,1440,3281.0,393,4133
15,7,1193,1440,3355.0,539,3082
16,1,1310,1440,3108.0,510,3414
17,3,1343,1440,2979.0,655,3576
18,5,1459,2880,4451.0,496,5635
19,6,1460,2880,3879.0,416,3088
20,7,1537,2880,4757.0,539,5538
21,3,1561,2880,4522.0,655,4295
22,2,1588,2880,4011.0,568,5258
23,8,1626,2880,4531.0,597,4405
24,5,1673,2880,5051.0,496,6149
25,6,1874,2880,4378.0,416,4469
26,9,1966,2880,4932.0,540,3830
27,4,2226,2880,5023.0,393,5767
28,0,2287,2880,4832.0,395,5392
29,1,2338,2880,4580.0,510,6218
30,8,2379,2880,4746.0,597,5649
31,1,2520,2880,4672.0,510,4246
32,5,2588,2880,5076.0,496,4012
33,6,2641,2880,4536.0,416,3257
34,9,2645,2880,5026.0,540,6612
35,7,2691,2880,4917.0,539,3961
36,3,2709,2880,4594.0,655,8614
37,2,2762,2880,5009.0,568,3757
38,4,2770,2880,5117.0,393,6089
39,0,2781,2880,4898.0,395,6511
40,4,2989,4320,6069.0,393,6351
41,5,3246,4320,5953.0,496,5100
42,0,3252,4320,5944.0,395,5560
43,2,3372,4320,5833.0,568,6568
44,9,3379,4320,5998.0,540,4590
45,3,3467,4320,5790.0,655,9005
46,7,3531,4320,5954.0,539,5088
47,1,3544,4320,5466.0,510,5144
48,8,3632,4320,5688.0,597,4619
49,6,3653,4320,5888.0,416,5818
50,1,3804,4320,5739.0,510,5008
51,3,3843,4320,5940.0,655,5615
52,5,4013,4320,6079.0,496,7217
53,9,4015,4320,6124.0,540,7858
54,8,4109,4320,6084.0,597,6774
55,0,4190,4320,6149.0,395,5752
56,2,4403,5760,6677.0,568,6044
57,7,4471,5760,7263.0,539,7689
58,6,4717,5760,6644.0,416,5968
59,4,4738,5760,7212.0,393,5957
60,3,4861,5760,7072.0,655,6787
61,7,5105,5760,7516.0,539,8643
62,2,5179,5760,7408.0,568,10242
63,5,5239,5760,7345.0,496,6008
64,9,5413,5760,7290.0,540,9057
65,8,5586,5760,7248.0,597,11305
66,4,5587,5760,7370.0,393,6947
67,0,5649,5760,7180.0,395,9652
68,6,5651,5760,7375.0,416,7928
69,1,5667,5760,7069.0,510,6015
70,0,5757,5760,7466.0,395,8533
71,9,5768,7200,8330.0,540,9772
72,8,5852,7200,8565.0,597,10382
73,2,5887,7200,8615.0,568,12579
74,7,5949,7200,8705.0,539,10677
75,3,6113,7200,8616.0,655,10307
76,4,6155,7200,8965.0,393,10863
77,6,6316,7200,8582.0,416,7408
78,1,6373,7200,8724.0,510,7510
79,5,6506,7200,8776.0,496,8349
80,1,6550,7200,8754.0,510,7455
81,0,6565,7200,8840.0,395,7889
82,3,6590,7200,8691.0,655,11977
83,7,6654,7200,8940.0,539,11995
84,6,6799,7200,8835.0,416,7914
85,9,7037,7200,8955.0,540,7641
86,4,7055,7200,9037.0,393,8768
87,2,7162,7200,8868.0,568,7484
88,5,7185,7200,8980.0,496,7448
89,8,7283,8640,10328.0,597,13433
90,9,7316,8640,10283.0,540,10794
91,3,7317,8640,10626.0,655,8968
92,8,7438,8640,10514.0,597,10766
93,7,7448,8640,10809.0,539,10453
94,4,7485,8640,10882.0,393,11796
95,2,7497,8640,9865.0,568,8924
96,0,7597,8640,10678.0,395,11667
97,6,7673,8640,9832.0,416,10221
98,5,7790,8640,10397.0,496,9265
99,1,7866,8640,10563.0,510,10425
100,8,7893,8640,11413.0,597,13577
101,6,7971,8640,10019.0,416,8848
102,0,8071,8640,10895.0,395,9734
103,2,8081,8640,11091.0,568,12911
104,3,8087,8640,10743.0,655,8968
