Job,Routing_ID,Operation,Machine,Processing Time
J25-0000,8,0,M00,76
J25-0000,8,1,M01,69
J25-0000,8,2,M03,76
J25-0000,8,3,M05,51
J25-0000,8,4,M02,85
J25-0000,8,5,M09,11
J25-0000,8,6,M06,40
J25-0000,8,7,M07,89
J25-0000,8,8,M04,26
J25-0000,8,9,M08,74
J25-0001,6,0,M01,46
J25-0001,6,1,M00,37
J25-0001,6,2,M03,61
J25-0001,6,3,M02,13
J25-0001,6,4,M06,32
J25-0001,6,5,M05,21
J25-0001,6,6,M09,32
J25-0001,6,7,M08,89
J25-0001,6,8,M07,30
J25-0001,6,9,M04,55
J25-0002,0,0,M00,29
J25-0002,0,1,M01,78
J25-0002,0,2,M02,9
J25-0002,0,3,M03,36
J25-0002,0,4,M04,49
J25-0002,0,5,M05,11
J25-0002,0,6,M06,62
J25-0002,0,7,M07,56
J25-0002,0,8,M08,44
J25-0002,0,9,M09,21
J25-0003,2,0,M01,91
J25-0003,2,1,M00,85
J25-0003,2,2,M03,39
J25-0003,2,3,M02,74
J25-0003,2,4,M08,90
J25-0003,2,5,M05,10
J25-0003,2,6,M07,12
J25-0003,2,7,M06,89
J25-0003,2,8,M09,45
J25-0003,2,9,M04,33
J25-0004,3,0,M01,81
J25-0004,3,1,M02,95
J25-0004,3,2,M00,71
J25-0004,3,3,M04,99
J25-0004,3,4,M06,9
J25-0004,3,5,M08,52
J25-0004,3,6,M07,85
J25-0004,3,7,M03,98
J25-0004,3,8,M09,22
J25-0004,3,9,M05,43
J25-0005,1,0,M00,43
J25-0005,1,1,M02,90
J25-0005,1,2,M04,75
J25-0005,1,3,M09,11
J25-0005,1,4,M03,69
J25-0005,1,5,M01,28
J25-0005,1,6,M06,46
J25-0005,1,7,M05,46
J25-0005,1,8,M07,72
J25-0005,1,9,M08,30
J25-0006,9,0,M01,85
J25-0006,9,1,M00,13
J25-0006,9,2,M02,61
J25-0006,9,3,M06,7
J25-0006,9,4,M08,64
J25-0006,9,5,M09,76
J25-0006,9,6,M05,47
J25-0006,9,7,M03,52
J25-0006,9,8,M04,90
J25-0006,9,9,M07,45
J25-0007,5,0,M02,84
J25-0007,5,1,M01,2
J25-0007,5,2,M05,52
J25-0007,5,3,M03,95
J25-0007,5,4,M08,48
J25-0007,5,5,M09,72
J25-0007,5,6,M00,47
J25-0007,5,7,M06,65
J25-0007,5,8,M04,6
J25-0007,5,9,M07,25
J25-0008,4,0,M02,14
J25-0008,4,1,M00,6
J25-0008,4,2,M01,22
J25-0008,4,3,M05,61
J25-0008,4,4,M03,26
J25-0008,4,5,M04,69
J25-0008,4,6,M08,21
J25-0008,4,7,M07,49
J25-0008,4,8,M09,72
J25-0008,4,9,M06,53
J25-0009,7,0,M02,31
J25-0009,7,1,M00,86
J25-0009,7,2,M01,46
J25-0009,7,3,M05,74
J25-0009,7,4,M04,32
J25-0009,7,5,M06,88
J25-0009,7,6,M08,19
J25-0009,7,7,M09,48
J25-0009,7,8,M07,36
J25-0009,7,9,M03,79
J25-0010,0,0,M00,29
J25-0010,0,1,M01,78
J25-0010,0,2,M02,9
J25-0010,0,3,M03,36
J25-0010,0,4,M04,49
J25-0010,0,5,M05,11
J25-0010,0,6,M06,62
J25-0010,0,7,M07,56
J25-0010,0,8,M08,44
J25-0010,0,9,M09,21
J25-0011,1,0,M00,43
J25-0011,1,1,M02,90
J25-0011,1,2,M04,75
J25-0011,1,3,M09,11
J25-0011,1,4,M03,69
J25-0011,1,5,M01,28
J25-0011,1,6,M06,46
J25-0011,1,7,M05,46
J25-0011,1,8,M07,72
J25-0011,1,9,M08,30
J25-0012,2,0,M01,91
J25-0012,2,1,M00,85
J25-0012,2,2,M03,39
J25-0012,2,3,M02,74
J25-0012,2,4,M08,90
J25-0012,2,5,M05,10
J25-0012,2,6,M07,12
J25-0012,2,7,M06,89
J25-0012,2,8,M09,45
J25-0012,2,9,M04,33
J25-0013,3,0,M01,81
J25-0013,3,1,M02,95
J25-0013,3,2,M00,71
J25-0013,3,3,M04,99
J25-0013,3,4,M06,9
J25-0013,3,5,M08,52
J25-0013,3,6,M07,85
J25-0013,3,7,M03,98
J25-0013,3,8,M09,22
J25-0013,3,9,M05,43
J25-0014,4,0,M02,14
J25-0014,4,1,M00,6
J25-0014,4,2,M01,22
J25-0014,4,3,M05,61
J25-0014,4,4,M03,26
J25-0014,4,5,M04,69
J25-0014,4,6,M08,21
J25-0014,4,7,M07,49
J25-0014,4,8,M09,72
J25-0014,4,9,M06,53
J25-0015,5,0,M02,84
J25-0015,5,1,M01,2
J25-0015,5,2,M05,52
J25-0015,5,3,M03,95
J25-0015,5,4,M08,48
J25-0015,5,5,M09,72
J25-0015,5,6,M00,47
